iter	Passed	Remaining
417	2650	3690
418	2655	3682
419	2660	3674
420	2665	3666
421	2671	3659
422	2679	3654
423	2686	3649
424	2692	3642
425	2698	3636
426	2705	3630
427	2711	3623
428	2717	3616
429	2722	3608
430	2727	3600
431	2732	3592
432	2738	3585
433	2744	3579
434	2750	3572
435	2756	3566
436	2764	3561
437	2771	3556
438	2778	3551
439	2786	3546
440	2793	3540
441	2801	3536
442	2807	3530
443	2814	3523
444	2819	3516
445	2824	3508
446	2829	3500
447	2834	3492
448	2839	3485
449	2845	3478
450	2852	3472
451	2859	3467
452	2867	3462
453	2873	3456
454	2881	3451
455	2888	3445
456	2894	3438
457	2900	3432
458	2906	3425
459	2913	3420
460	2921	3415
461	2929	3411
462	2936	3406
463	2945	3402
464	2953	3398
465	2961	3393
466	2967	3387
467	2977	3384
468	2985	3379
469	2993	3375
470	3000	3369
471	3006	3363
472	3012	3356
473	3019	3350
474	3025	3343
475	3031	3336
476	3037	3330
477	3043	3323
478	3049	3316
479	3054	3309
480	3060	3302
481	3067	3296
482	3073	3290
483	3081	3284
484	3088	3279
485	3094	3272
486	3100	3265
487	3106	3259
488	3112	3252
489	3117	3244
490	3123	3237
491	3128	3230
492	3134	3223
493	3140	3216
494	3145	3209
495	3151	3202
496	3156	3194
497	3161	3186
498	3165	3178
499	3170	3170
500	3175	3163
501	3181	3156
502	3187	3149
503	3194	3143
504	3200	3137
505	3206	3130
506	3213	3124
507	3219	3118
508	3226	3112
509	3232	3105
510	3239	3100
511	3245	3093
512	3252	3087
513	3258	3080
514	3263	3073
515	3269	3066
516	3275	3060
517	3282	3054
518	3289	3048
519	3295	3042
520	3302	3035
521	3307	3028
522	3313	3021
523	3318	3014
524	3323	3007
525	3328	2999
526	3333	2991
527	3338	2984
528	3343	2977
529	3349	2970
530	3354	2962
531	3359	2955
532	3363	2947
533	3369	2940
534	3374	2933
535	3380	2926
536	3386	2919
537	3391	2912
538	3397	2905
539	3403	2898
540	3409	2893
541	3416	2887
542	3423	2881
543	3429	2874
544	3434	2867
545	3440	2860
546	3447	2855
547	3453	2848
548	3459	2842
549	3465	2835
550	3471	2828
551	3477	2822
552	3482	2815
553	3487	2807
554	3492	2800
555	3498	2793
556	3504	2786
557	3509	2779
558	3515	2773
559	3523	2768
560	3532	2764
561	3540	2759
562	3547	2753
563	3554	2747
564	3560	2741
565	3566	2734
566	3572	2728
567	3578	2721
568	3584	2715
569	3590	2708
570	3597	2703
571	3603	2696
572	3609	2689
573	3615	2683
574	3621	2676
575	3629	2671
576	3636	2665
577	3643	2660
578	3651	2655
579	3659	2650
580	3668	2645
581	3675	2640
582	3682	2634
583	3692	2630
584	3700	2625
585	3710	2621
586	3717	2615
587	3727	2611
588	3736	2607
589	3744	2602
590	3753	2597
591	3761	2592
592	3768	2586
593	3774	2579
594	3779	2572
595	3784	2565
596	3790	2558
597	3796	2551
598	3802	2545
599	3807	2538
600	3813	2531
601	3818	2524
602	3823	2517
603	3829	2510
604	3835	2504
605	3842	2498
606	3848	2491
607	3855	2485
608	3862	2479
609	3870	2474
610	3877	2468
611	3887	2464
612	3893	2458
613	3902	2453
614	3909	2447
615	3917	2442
616	3928	2438
617	3935	2432
618	3943	2427
619	3951	2421
620	3959	2416
621	3969	2412
622	3977	2406
623	3984	2400
624	3992	2395
625	4002	2391
626	4009	2385
627	4018	2380
628	4027	2375
629	4034	2369
630	4044	2365
631	4052	2359
632	4060	2354
633	4066	2347
634	4073	2341
635	4079	2335
636	4085	2328
637	4091	2321
638	4096	2314
639	4101	2307
640	4106	2300
641	4112	2293
642	4118	2286
643	4125	2280
644	4131	2273
645	4136	2267
646	4143	2260
647	4147	2253
648	4154	2246
649	4160	2240
650	4166	2233
651	4172	2227
652	4177	2220
653	4183	2213
654	4190	2207
655	4196	2200
656	4203	2194
657	4209	2188
658	4215	2181
659	4220	2174
660	4225	2167
661	4231	2160
662	4235	2153
663	4241	2146
664	4247	2139
665	4254	2133
666	4261	2127
667	4268	2121
668	4275	2115
669	4283	2109
670	4289	2103
671	4296	2097
672	4303	2091
673	4309	2084
674	4315	2077
675	4321	2071
676	4328	2065
677	4336	2059
678	4341	2052
679	4348	2046
680	4355	2040
681	4362	2034
682	4368	2027
683	4375	2021
684	4382	2015
685	4389	2009
686	4397	2003
687	4405	1997
688	4412	1991
689	4421	1986
690	4429	1980
691	4438	1975
692	4447	1970
693	4453	1963
694	4459	1957
695	4466	1950
696	4473	1944
697	4479	1938
698	4486	1931
699	4496	1927
700	4505	1921
701	4513	1915
702	4520	1909
703	4526	1903
704	4532	1896
705	4538	1890
706	4545	1883
707	4550	1876
708	4555	1869
709	4560	1862
710	4566	1856
711	4574	1850
712	4581	1843
713	4589	1838
714	4595	1831
715	4604	1826
716	4613	1820
717	4623	1816
718	4630	1809
719	4638	1803
720	4649	1799
721	4657	1793
722	4663	1786
723	4670	1780
724	4677	1774
725	4684	1767
726	4689	1760
727	4697	1755
728	4703	1748
729	4709	1742
730	4716	1735
731	4723	1729
732	4731	1723
733	4738	1717
734	4746	1711
735	4753	1705
736	4759	1698
737	4764	1691
738	4770	1684
739	4776	1678
740	4782	1671
741	4788	1665
742	4795	1658
743	4801	1652
744	4806	1645
745	4811	1638
746	4816	1631
747	4822	1624
748	4827	1617
749	4832	1610
750	4837	1604
751	4843	1597
752	4848	1590
753	4854	1583
754	4859	1577
755	4865	1570
756	4870	1563
757	4876	1556
758	4881	1550
759	4886	1543
760	4892	1536
761	4897	1529
762	4902	1522
763	4908	1516
764	4913	1509
765	4918	1502
766	4923	1495
767	4928	1488
768	4934	1482
769	4939	1475
770	4944	1468
771	4950	1462
772	4955	1455
773	4960	1448
774	4965	1441
775	4970	1434
776	4975	1427
777	4981	1421
778	4986	1414
779	4991	1407
780	4996	1401
781	5001	1394
782	5006	1387
783	5011	1380
784	5016	1373
785	5021	1367
786	5026	1360
787	5031	1353
788	5036	1346
789	5040	1339
790	5045	1333
791	5050	1326
792	5055	1319
793	5060	1312
794	5065	1306
795	5070	1299
796	5077	1293
797	5085	1287
798	5091	1280
799	5098	1274
800	5105	1268
801	5112	1262
802	5118	1255
803	5123	1249
804	5128	1242
805	5132	1235
806	5137	1228
807	5142	1221
808	5147	1215
809	5152	1208
810	5157	1202
811	5163	1195
812	5167	1188
813	5173	1182
814	5178	1175
815	5183	1168
816	5188	1162
817	5194	1155
818	5200	1149
819	5207	1143
820	5212	1136
821	5219	1130
822	5225	1123
823	5231	1117
824	5238	1111
825	5244	1104
826	5248	1098
827	5254	1091
828	5259	1084
829	5264	1078
830	5270	1071
831	5275	1065
832	5283	1059
833	5291	1053
834	5299	1047
835	5305	1040
836	5311	1034
837	5317	1027
838	5322	1021
839	5329	1015
840	5337	1009
841	5345	1003
842	5354	997
843	5363	991
844	5370	985
845	5376	978
846	5384	972
847	5390	966
848	5398	960
849	5407	954
850	5415	948
851	5423	942
852	5432	936
853	5439	929
854	5448	923
855	5455	917
856	5462	911
857	5470	905
858	5477	899
859	5486	893
860	5494	887
861	5503	881
862	5510	874
863	5516	868
864	5523	862
865	5529	855
866	5535	849
867	5541	842
868	5548	836
869	5554	829
870	5561	823
871	5570	817
872	5577	811
873	5584	805
874	5591	798
875	5598	792
876	5606	786
877	5613	779
878	5620	773
879	5628	767
880	5637	761
881	5649	755
882	5660	749
883	5669	744
884	5678	737
885	5687	731
886	5695	725
887	5704	719
888	5710	712
889	5717	706
890	5724	700
891	5731	693
892	5738	687
893	5745	681
894	5752	674
895	5758	668
896	5765	661
897	5771	655
898	5778	649
899	5785	642
900	5791	636
901	5797	629
902	5804	623
903	5811	617
904	5817	610
905	5824	604
906	5830	597
907	5837	591
908	5844	585
909	5851	578
910	5858	572
911	5865	565
912	5872	559
913	5879	553
914	5886	546
915	5893	540
916	5899	533
917	5905	527
918	5912	521
919	5920	514
920	5929	508
921	5936	502
922	5943	495
923	5950	489
924	5958	483
925	5963	476
926	5971	470
927	5976	463
928	5983	457
929	5989	450
930	5994	444
931	6000	437
932	6006	431
933	6012	424
934	6021	418
935	6028	412
936	6036	405
937	6042	399
938	6049	392
939	6058	386
940	6065	380
941	6072	373
942	6078	367
943	6085	361
944	6092	354
945	6098	348
946	6104	341
947	6110	335
948	6116	328
949	6121	322
950	6126	315
951	6131	309
952	6137	302
953	6142	296
954	6148	289
955	6155	283
956	6161	276
957	6167	270
958	6174	263
959	6181	257
960	6191	251
961	6200	244
962	6209	238
963	6217	232
964	6226	225
965	6234	219
966	6241	213
967	6249	206
968	6256	200
969	6263	193
970	6270	187
971	6276	180
972	6282	174
973	6286	167
974	6291	161
975	6297	154
976	6302	148
977	6307	141
978	6312	135
979	6316	128
980	6321	122
981	6326	115
982	6330	109
983	6335	103
984	6340	96
985	6344	90
986	6350	83
987	6354	77
988	6359	70
989	6364	64
990	6368	57
991	6373	51
992	6378	44
993	6383	38
994	6388	32
995	6393	25
996	6399	19
997	6405	12
998	6411	6
999	6419	0
