iter	RMSE
596	225059.7707
597	224964.5372
598	224900.3482
599	224791.3636
600	224676.4497
601	224604.9782
602	224577.0567
603	224444.1242
604	224314.7749
605	224260.6986
606	224157.7611
607	224096.6503
608	224090.7157
609	223994.4467
610	223933.243
611	223749.9452
612	223708.6651
613	223603.8916
614	223526.4657
615	223431.931
616	223368.6544
617	223264.9205
618	223166.7012
619	223093.4664
620	222983.4146
621	222963.0614
622	222883.4797
623	222836.7228
624	222817.912
625	222734.7838
626	222688.2206
627	222559.6201
628	222493.5992
629	222440.2953
630	222352.9961
631	222303.5451
632	222210.0256
633	222146.2295
634	222134.2718
635	222054.3983
636	221987.9637
637	221902.7758
638	221857.4011
639	221848.4096
640	221796.3253
641	221664.79
642	221591.1702
643	221520.519
644	221478.9388
645	221319.8801
646	221222.1102
647	221168.1142
648	221014.9254
649	220955.0015
650	220872.9385
651	220773.999
652	220664.0068
653	220624.8465
654	220524.0451
655	220425.6792
656	220367.5352
657	220294.7627
658	220241.6738
659	220166.6266
660	220074.0026
661	219966.1316
662	219899.8872
663	219810.7763
664	219761.414
665	219684.8671
666	219646.6484
667	219602.3218
668	219500.1716
669	219429.0819
670	219374.5631
671	219327.7575
672	219282.7273
673	219139.7477
674	219035.1395
675	218965.5524
676	218826.3806
677	218782.0648
678	218657.7729
679	218541.0418
680	218422.9502
681	218359.728
682	218307.8301
683	218260.9092
684	218240.1639
685	218185.7168
686	218095.4815
687	217989.5643
688	217906.8646
689	217820.2339
690	217746.9043
691	217691.6918
692	217662.7489
693	217633.7031
694	217616.1223
695	217574.5433
696	217534.0352
697	217518.6156
698	217453.635
699	217362.616
700	217253.1709
701	217220.4324
702	217135.334
703	217042.2075
704	217020.2303
705	216957.9779
706	216882.8029
707	216778.8186
708	216714.9426
709	216655.5811
710	216622.6286
711	216580.8672
712	216508.7818
713	216433.0172
714	216377.0618
715	216305.265
716	216188.8213
717	216142.051
718	216058.6622
719	215972.8874
720	215917.9366
721	215857.5351
722	215750.9448
723	215669.275
724	215570.8024
725	215466.5464
726	215384.1324
727	215275.377
728	215183.9249
729	215108.4399
730	215020.1603
731	214911.2775
732	214830.6133
733	214770.3519
734	214721.7168
735	214622.9753
